,0,Cs,Lattitude,Longtitude
74,Iceland,Iceland,64.9841821,-18.1059013
75,India,India,22.3511148,78.6677428
76,Indonesia,Indonesia,-2.4833826,117.8902853
77,Iran,Iran,32.6475314,54.5643516
78,Iraq,Iraq,33.0955793,44.1749775
79,Ireland,Ireland,52.865196,-7.9794599
80,Israel,Israel,31.5313113,34.8667654
81,Italy,Italy,42.6384261,12.674297
82,Jamaica,Jamaica,18.1152958,-77.1598454610168
83,Japan,Japan,36.5748441,139.2394179
84,Jordan,Jordan,31.1667049,36.941628
85,Kazakhstan,Kazakhstan,47.2286086,65.2093197
86,Kenya,Kenya,1.4419683,38.4313975
87,"Korea, South","Korea, South",35.7724185,127.79654346305617
88,Kuwait,Kuwait,29.2733964,47.4979476
89,Kyrgyzstan,Kyrgyzstan,41.5089324,74.724091
90,Laos,Laos,20.0171109,103.378253
91,Latvia,Latvia,56.8406494,24.7537645
92,Lebanon,Lebanon,33.8750629,35.843409
93,Liberia,Liberia,5.7499721,-9.3658524
94,Libya,Libya,26.8234472,18.1236723
95,Liechtenstein,Liechtenstein,47.1416307,9.5531527
96,Lithuania,Lithuania,55.3500003,23.7499997
97,Luxembourg,Luxembourg,49.8158683,6.1296751
98,Madagascar,Madagascar,-18.9249604,46.4416422
99,Malaysia,Malaysia,4.5693754,102.2656823
100,Maldives,Maldives,4.7064352,73.3287853
101,Mali,Mali,16.3700359,-2.2900239
102,Malta,Malta,35.8885993,14.4476911
103,Mauritania,Mauritania,20.2540382,-9.2399263
104,Mauritius,Mauritius,-20.2759451,57.5703566
105,Mexico,Mexico,19.4326296,-99.1331785
106,Moldova,Moldova,47.2879608,28.5670941
107,Monaco,Monaco,43.7323492,7.4276832
108,Mongolia,Mongolia,46.8250388,103.8499736
109,Montenegro,Montenegro,42.9868853,19.5180992
110,Morocco,Morocco,31.1728205,-7.3362482
111,Mozambique,Mozambique,-19.302233,34.9144977
112,Namibia,Namibia,-23.2335499,17.3231107
113,Nepal,Nepal,28.1083929,84.0917139
114,Netherlands,Netherlands,52.5001698,5.7480821
115,New Zealand,New Zealand,-41.5000831,172.8344077
116,Nicaragua,Nicaragua,12.6090157,-85.2936911
117,Niger,Niger,17.7356214,9.3238432
118,Nigeria,Nigeria,9.6000359,7.9999721
119,North Macedonia,North Macedonia,41.6171214,21.7168387
120,Norway,Norway,64.5731537,11.52803643954819
121,Oman,Oman,21.0000287,57.0036901
122,Pakistan,Pakistan,30.3308401,71.247499
123,Panama,Panama,8.559559,-81.1308434
124,Papua New Guinea,Papua New Guinea,-5.6816069,144.2489081
125,Paraguay,Paraguay,-23.3165935,-58.1693445
126,Peru,Peru,-6.8699697,-75.0458515
127,Philippines,Philippines,12.7503486,122.7312101
128,Poland,Poland,52.215933,19.134422
129,Portugal,Portugal,40.0332629,-7.8896263
130,Qatar,Qatar,25.3336984,51.2295295
131,Romania,Romania,45.9852129,24.6859225
132,Russia,Russia,64.6863136,97.7453061
133,Rwanda,Rwanda,-1.9646631,30.0644358
134,Saint Kitts and Nevis,Saint Kitts and Nevis,17.250512,-62.6725973
135,Saint Lucia,Saint Lucia,13.8250489,-60.975036
136,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.90447,-61.2765569
137,San Marino,San Marino,43.9458623,12.458306
138,Saudi Arabia,Saudi Arabia,25.6242618,42.3528328
139,Senegal,Senegal,14.4750607,-14.4529612
140,Serbia,Serbia,44.024322850000004,21.07657433209902
141,Seychelles,Seychelles,-4.6574977,55.4540146
142,Singapore,Singapore,1.357107,103.8194992
143,Slovakia,Slovakia,48.7411522,19.4528646
144,Slovenia,Slovenia,45.8133113,14.4808369
145,Somalia,Somalia,8.3676771,49.083416
146,South Africa,South Africa,-28.8166236,24.991639
147,Spain,Spain,39.3262345,-4.8380649
148,Sri Lanka,Sri Lanka,7.5554942,80.7137847
149,Sudan,Sudan,14.5844444,29.4917691
150,Suriname,Suriname,4.1413025,-56.0771187
151,Sweden,Sweden,59.6749712,14.5208584
152,Switzerland,Switzerland,46.7985624,8.2319736
153,Syria,Syria,34.6401861,39.0494106
154,Taiwan*,Taiwan*,23.9739374,120.9820179
155,Tanzania,Tanzania,-6.5247123,35.7878438
156,Thailand,Thailand,14.8971921,100.83273
157,Timor-Leste,Timor-Leste,-8.5151979,125.8375756
158,Togo,Togo,8.7800265,1.0199765
159,Trinidad and Tobago,Trinidad and Tobago,10.8677845,-60.9821067
160,Tunisia,Tunisia,33.8439408,9.400138
161,Turkey,Turkey,38.9597594,34.9249653
162,US,US,39.7837304,-100.4458825
163,Uganda,Uganda,1.5333554,32.2166578
164,Ukraine,Ukraine,49.4871968,31.2718321
165,United Arab Emirates,United Arab Emirates,24.0002488,53.9994829
166,United Kingdom,United Kingdom,54.7023545,-3.2765753
167,Uruguay,Uruguay,-32.8755548,-56.0201525
168,Uzbekistan,Uzbekistan,41.32373,63.9528098
169,Venezuela,Venezuela,8.0018709,-66.1109318
170,Vietnam,Vietnam,13.2904027,108.4265113
171,Zambia,Zambia,-14.5186239,27.5599164
172,Zimbabwe,Zimbabwe,-18.4554963,29.7468414
